ds,yhat,yhat_lower,yhat_upper
11/1/2021,1813212.1660445726,1808947.210101595,1817078.1298206307
12/1/2021,1821609.8043896456,1817610.6961318199,1825708.9047985899
1/1/2022,1835346.9572654678,1831139.0283295317,1839419.1047241213
2/1/2022,1850475.8228445803,1846285.766,1854781.441425553
3/1/2022,1859462.9338468674,1855234.428,1863996.516412297
4/1/2022,1867422.4893604768,1863242.5127406274,1871415.9339436195
5/1/2022,1876873.236,1872757.4625594295,1880688.1990420194
6/1/2022,1886309.7461548003,1882133.7064584661,1890396.7969449698
7/1/2022,1894478.3829363098,1890249.0670920215,1898475.610155747
8/1/2022,1902038.1514300888,1897946.520514625,1906249.3935592382
9/1/2022,1911528.9064256344,1907388.6315008218,1915437.9101633655
10/1/2022,1918940.0927226376,1914906.6478225358,1923413.6575935027
11/1/2022,1933466.8081035253,1929472.7068200333,1937235.1674233673
12/1/2022,1943100.8040630643,1938915.838,1947657.1943692311
1/1/2023,1956300.3247106648,1952243.4566087832,1960559.4972017491
2/1/2023,1972335.9691183968,1968065.5259974673,1976485.2981295434
3/1/2023,1981610.6016199882,1977640.8385561653,1985726.975259492
4/1/2023,1986959.9639017344,1982857.100744932,1991067.5361021787
4/30/2023,2004912.9561690043,2000440.3715397238,2009152.3968346107
5/31/2023,2009650.7487224175,2004579.710483138,2014981.1068620153
6/30/2023,2015174.146,2008177.133666026,2022132.2255976344
7/31/2023,2015046.7068222468,2004492.8909283367,2026085.2536249151
8/31/2023,2038736.028467798,2024548.5172287796,2055215.5486623477
9/30/2023,2042097.9702803562,2021830.8605245268,2063188.0280276022
10/31/2023,2051138.7230466185,2026408.3283979176,2077865.3834549405
11/30/2023,2065710.6117200623,2033094.629194113,2098068.2166767223
12/31/2023,2074852.803239261,2036912.0694143912,2114358.5529141813
1/31/2024,2095476.2258370144,2047633.5076397879,2144176.467
2/29/2024,2103731.9507655245,2051505.1804914714,2160159.8962184847
3/31/2024,2106507.1620192756,2048633.422680612,2170674.158914412
4/30/2024,2122535.015693797,2056271.5997952137,2196170.8208564203
5/31/2024,2130221.6355383303,2053720.4779842824,2210754.549418363
6/30/2024,2137357.5675090123,2050938.5413958528,2228677.783059523
7/31/2024,2141705.4810557477,2044297.8946368622,2242821.5054635485
8/31/2024,2156857.337085434,2052371.0324357168,2266582.5931053567
9/30/2024,2162778.474849126,2052101.6884806587,2282121.1216886216
10/31/2024,2175076.476585992,2052587.502907798,2305678.520384416
11/30/2024,2186659.804213562,2053078.7822860759,2329957.2093918324
12/31/2024,2198223.4101748415,2054368.2870966317,2351279.929250513
1/31/2025,2216086.0320934486,2058941.3898402355,2380964.952862508
2/28/2025,2225826.728,2060393.9397037197,2400581.011577718
3/31/2025,2226065.8435208625,2049017.4429618889,2413870.493489114
4/30/2025,2245404.565186404,2055623.8725875986,2443192.4594059056
5/31/2025,2252150.9498497522,2050465.3530009908,2460160.8205180764
6/30/2025,2258756.5388503326,2041206.5989772442,2485755.7336605242
7/31/2025,2261565.9165069116,2031393.1942472789,2502290.888694889
8/31/2025,2279560.133195575,2033162.6209633353,2533517.510979538
9/30/2025,2284670.9427876314,2019790.6269063442,2553185.7772986996
10/31/2025,2295870.593,2019990.3622743418,2580471.7108174935
11/30/2025,2308442.117611311,2019203.6073352813,2611062.5789466808
12/31/2025,2319193.866613664,2018426.4150943463,2633547.487918252
1/31/2026,2337974.9278372484,2026125.8943233294,2666123.6901314226
2/28/2026,2347894.7191378707,2013916.6403886457,2688378.7874637456
3/31/2026,2345637.7496587154,1999179.8161972363,2700209.8295114567
4/30/2026,2368298.1791626057,2008350.5735781344,2738239.3788931817
5/31/2026,2374061.433499545,1997430.5885603805,2759742.8608166566
6/30/2026,2380129.0752381445,1988337.3330699909,2782791.7329320884
7/31/2026,2381446.328066434,1969936.925749676,2795943.2116192128
8/31/2026,2402287.253166293,1976295.7040328821,2837051.203338807
9/30/2026,2406544.814327527,1962933.9851401004,2856056.7760480223
10/31/2026,2416658.333740948,1957542.7563040252,2879955.3286362505
11/30/2026,2430226.2568686204,1946939.4756836032,2911391.1218696954
12/31/2026,2440170.7398781017,1943290.1270019899,2944531.974318012
1/31/2027,2459872.3630620474,1944236.3835398231,2977957.9206364974
2/28/2027,2469935.750107691,1931875.0358210555,3002380.007619765
3/31/2027,2465224.6011851295,1908149.286724126,3015743.140443388
4/30/2027,2491214.5247792667,1910427.8860836884,3057605.1672096043
5/31/2027,2495952.317332671,1904127.4285604921,3082622.3883511154
6/30/2027,2501475.7148180064,1892483.7846485728,3105337.444
7/31/2027,2501348.2754325285,1878521.3661823997,3124108.875927582
8/31/2027,2525037.597078062,1883100.403741303,3164535.983535143
9/30/2027,2528399.5388906077,1860932.1666572944,3179420.1385527123
10/31/2027,2537440.2916568783,1847565.5953202483,3209396.412161347
11/30/2027,2552012.180330324,1840656.0649184007,3242570.1816020245
12/31/2027,2561154.3718495136,1831926.1753677102,3266966.848782647
1/31/2028,2581777.794447272,1833657.2712660257,3310255.853505683
2/29/2028,2590033.5193757853,1827211.1429868739,3338168.414397567
3/31/2028,2592808.730629541,1814572.3683762413,3363735.877374496
4/30/2028,2608836.5843040617,1811547.224795873,3395470.6115516117
5/31/2028,2616523.204148594,1802836.8032345367,3427670.5543245273
6/30/2028,2623659.136119282,1788313.1400106808,3450953.957
7/31/2028,2628007.049666012,1774662.3518390388,3475584.621435155
8/31/2028,2643158.9056956805,1771950.732659144,3516346.3914004923
9/30/2028,2649080.043459382,1752744.2846177872,3544738.8171354085
10/31/2028,2661378.045196247,1743416.3862551071,3577300.6213598633
11/30/2028,2672961.372823818,1732390.0147409707,3613037.0244021113
12/31/2028,2684524.9787851074,1728264.4402346225,3650428.501405143
1/31/2029,2702387.600703706,1723661.5451154613,3696366.520644063
2/28/2029,2712128.296495404,1707864.8166576787,3724550.027632936
3/31/2029,2712367.412131102,1682686.2407665534,3740904.3330934783
4/30/2029,2731706.1337966574,1683263.8093766111,3777333.5495924894
5/31/2029,2738452.518460007,1665129.7805260748,3811694.337762408
6/30/2029,2745058.1074605957,1659010.0883494976,3828765.1849192325
7/31/2029,2747867.4851171654,1639519.111787768,3850811.379808245
8/31/2029,2765861.7018058435,1639142.1489419804,3895929.405939475
9/30/2029,2770972.5113978875,1622656.725382972,3927263.612004057
10/31/2029,2782172.1618709927,1616008.585640103,3964230.337576043
11/30/2029,2794743.6862215763,1599588.4814650675,4010177.469452339
12/31/2029,2805495.435223915,1588475.0887077232,4049221.524903737
1/31/2030,2824276.496447518,1588634.8836543902,4097521.857091433
2/28/2030,2834196.2877481384,1573559.1690216176,4129339.2226116005
3/31/2030,2831939.318268984,1545701.5776271492,4148660.9057568936
4/30/2030,2854599.7477728953,1541666.5640731747,4189940.936610766
5/31/2030,2860363.002109819,1530408.2941373275,4206690.356382818
6/30/2030,2866430.643848407,1516847.292,4232096.829384239
7/31/2030,2867747.897,1493598.8139407828,4254922.095039041
8/31/2030,2888588.8217765396,1493987.8224909343,4297124.371912747
9/30/2030,2892846.3829377918,1472465.1315655916,4329728.024104175
10/31/2030,2902959.902351193,1461418.779547271,4360920.418481483
11/30/2030,2916527.8254788914,1453194.1130302814,4406957.464191227
12/31/2030,2926472.3084883587,1434257.0866018937,4435335.868782834
1/31/2031,2946173.931672303,1441669.9755688203,4483308.210798255
2/28/2031,2956237.3187179496,1430149.7205192368,4512762.368970977
3/31/2031,2951526.17,1399369.4150483205,4528316.931700921
4/30/2031,2977516.0933895237,1406996.398427338,4577617.785919558
5/31/2031,2982253.8859429285,1398753.388583493,4597442.445346309
6/30/2031,2987777.2834282606,1376533.4108874875,4627025.888623309
7/31/2031,2987649.844,1357203.899134989,4648506.761385023
8/31/2031,3011339.165688326,1350325.2635506683,4690940.212051332
9/30/2031,3014701.108,1322467.3937762324,4705943.5343723735
10/31/2031,3023741.8602671507,1307938.7346505541,4742467.643257902
11/30/2031,3038313.7489405866,1321523.0389935337,4770906.729420072
12/31/2031,3047455.9404597697,1309965.6983627507,4816402.632131174
1/31/2032,3068079.3630575393,1309316.298611196,4858910.931279769
2/29/2032,3076335.087986056,1281155.2531108307,4902788.141135988
3/31/2032,3079110.2992397817,1250071.3930635904,4935123.372728292
4/30/2032,3095138.1529143155,1243669.2369209616,4988683.366837134
5/31/2032,3102824.772758857,1225062.2212109766,5023715.397614835
6/30/2032,3109960.7047295347,1205660.1989369967,5062778.568048131
7/31/2032,3114308.6182762673,1186044.3582902912,5097172.989
8/31/2032,3129460.474305956,1166749.281054976,5150726.546983295
9/30/2032,3135381.6120696506,1137233.1978687055,5178559.615863967
10/31/2032,3147679.613806514,1118758.2412619987,5218796.719578907
11/30/2032,3159262.9414340802,1105242.7971373214,5241369.996766507
12/31/2032,3170826.547,1093480.6589755733,5269277.234546038
1/31/2033,3188689.169313961,1074588.9268022773,5295173.028122078
2/28/2033,3198429.865105657,1063325.780680558,5343982.391358222
3/31/2033,3198668.980741376,1045611.3949397865,5354745.828665652
