ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,yearly,yhat
8/1/2019,1296345.758554617,-1071885.752,3633068.176835828,1296345.758554617,1296345.758554617,5845.747822,1302191.5063770325
9/1/2019,1295815.0463457801,-985422.708,3506143.0433521587,1295815.0463457801,1295815.0463457801,11823.540179564254,1307638.5865253443
10/1/2019,1295301.4538856158,-979358.0116,3763288.365158703,1295301.4538856158,1295301.4538856158,14078.902700774493,1309380.3565863904
11/1/2019,1294770.7416767792,-1131420.435,3736448.2847639704,1294770.7416767792,1294770.7416767792,16432.08483786295,1311202.8265146422
12/1/2019,1298289.6760029558,-1100749.384,3528135.5547585534,1298289.6760029558,1298289.6760029558,8862.398816,1307152.0748193741
1/1/2020,1301925.9081400046,-1087060.687,3582440.5168678695,1301925.9081400046,1301925.9081400046,2260.6421075421713,1304186.5502475468
2/1/2020,1309960.872402477,-864444.8088,3765366.578375087,1309960.872402477,1309960.872402477,-14898.99457,1295061.8778344407
3/1/2020,1317477.4518738221,-967818.8618,3644303.957659261,1317477.4518738221,1317477.4518738221,-14563.43934,1302914.0125290893
4/1/2020,1327677.476171129,-1067723.076,3496549.4866282656,1327677.476171129,1327677.476171129,-4246.437679,1323431.0384916777
5/1/2020,1337548.4674265871,-1082466.244,3648785.541006963,1337548.4674265871,1337548.4674265871,5323.364705980811,1342871.832132568
6/1/2020,1348080.0391643324,-949602.4344,3620849.965582575,1348080.0391643324,1348080.0391643324,21064.72889,1369144.7680576642
7/1/2020,1358271.8827815051,-870663.6375,3812349.8212992116,1358271.8827815051,1358271.8827815051,31964.638040695245,1390236.5208222005
8/1/2020,1368803.584708074,-891981.3554,3684075.3855981776,1368803.584708074,1368803.584708074,20883.952680871782,1389687.537388946
9/1/2020,1379335.2866346436,-982192.3773,4002795.3134535183,1379335.2866346436,1379335.2866346436,-5070.461628,1374264.8250065863
10/1/2020,1389527.271,-1017329.686,3797578.7586888885,1389527.271,1389527.271,-5691.1982,1383836.072908765
11/1/2020,1400058.988398538,-876706.2081,3705107.454081877,1400058.988398538,1400058.988398538,10155.23827656356,1410214.2266751016
12/1/2020,1410250.9728725846,-990843.0171,3948797.4405921227,1410250.9728725846,1410250.9728725846,11289.304999294744,1421540.2778718793
1/1/2021,1420782.732451275,-713993.116,3753210.6717457026,1420782.732451275,1420782.732451275,19593.238015799925,1440375.970467075
2/1/2021,1431314.4920299654,-928221.0385,3983573.8216208206,1431314.4920299654,1431314.4920299654,29650.994235029648,1460965.486264995
3/1/2021,1440827.0522715831,-988372.2421,3794434.017058677,1440827.0522715831,1440827.0522715831,1477.868902519903,1442304.921174103
4/1/2021,1451358.8153962314,-878637.6959,3509409.647611777,1451358.8153962314,1451358.8153962314,1141.2939410119259,1452500.1093372433
5/1/2021,1461550.8674256785,-871510.393,3838466.2326326203,1461550.8674256785,1461550.8674256785,4897.486257835464,1466448.353683514
6/1/2021,1472082.6545227743,-871115.3212,3900567.6251551956,1472082.6545227743,1472082.6545227743,15923.710436810623,1488006.364959585
7/1/2021,1482274.7008338065,-673022.1035,3816366.640268875,1482274.7008338065,1482274.7008338065,27422.46257658892,1509697.1634103954
8/1/2021,1492806.4820218734,-1010893.008,3829383.684577585,1492806.4820218734,1492806.4820218734,15645.174472378492,1508451.656494252
9/1/2021,1503338.2550744591,-818825.9958,3627728.150430023,1503338.2550744591,1503338.2550744591,332.4703836392137,1503670.7254580983
10/1/2021,1513530.2935124454,-916252.7494,4066235.7969740895,1513530.2935124454,1513530.2935124454,941.8586626370846,1514472.1521750826
11/1/2021,1524062.0643263692,-750485.723,3882538.6289098756,1524062.0643263692,1524062.0643263692,12427.720310548155,1536489.7846369173
12/1/2021,1534254.1005979085,-584964.3895,3959877.4881160427,1534254.1005979085,1534254.1005979085,10688.88490074678,1544942.9854986554
1/1/2022,1544785.8714118323,-872932.7081,3929358.930122226,1544785.8714118323,1544785.8714118323,13971.844782993812,1558757.7161948262
2/1/2022,1555317.6384320196,-853983.9607,3909705.896872603,1555317.6384320196,1555317.6384320196,14515.114186939158,1569832.7526189587
3/1/2022,1564830.2021921892,-886347.6003,4206610.953656718,1564830.2021921892,1564830.2021921892,17775.67197782927,1582605.8741700184
4/1/2022,1575361.9726931816,-666481.5978,4015407.3982351306,1575361.9726931816,1575361.9726931816,6331.719476009361,1581693.6921691909
5/1/2022,1585554.0086618837,-686803.1756,4151404.618883757,1585554.0086618837,1585554.0086618837,4225.0187041656445,1589779.0273660494
6/1/2022,1596085.7791628763,-800085.4598,4224543.006,1596085.7791628763,1596085.7791628763,10647.454325575101,1606733.2334884515
7/1/2022,1606277.8151315784,-1016687.79,4126003.881207115,1606277.8151315784,1606277.8151315784,22917.59804111303,1629195.4131726914
8/1/2022,1616809.5856325708,-838170.4602,3941268.784912159,1616809.5856325708,1616809.5856325708,10630.473616808322,1627440.0592493792
9/1/2022,1627341.3561335632,-969553.8754,4118419.926312355,1627341.3561335632,1627341.3561335632,5966.191502429265,1633307.5476359925
10/1/2022,1637533.3921022655,-780758.8662,3963502.912250951,1637533.3921022655,1637533.3921022655,7535.457297590278,1645068.8493998558
11/1/2022,1648065.162603258,-854785.1985,4021320.785484184,1648065.162603258,1648065.162603258,14521.602798065414,1662586.7654013233
12/1/2022,1658257.1985719602,-890444.3641,4139702.729696721,1658257.1985719602,1658257.1985719602,9878.943713399885,1668136.142
1/1/2023,1668788.9690729526,-588268.2983,4080910.998467589,1668788.9690729526,1668788.9690729526,8190.391028809911,1676979.3601017625
2/1/2023,1679320.739573945,-761572.1388,3908940.9205843294,1679320.739573945,1679320.739573945,-340.4546995,1678980.284874495
3/1/2023,1688833.3064780668,-690995.2488,3977541.2188846357,1688833.3064780668,1688833.3064780668,34311.27801041232,1723144.5844884792
4/1/2023,1699365.0769790595,-780325.7494,4040219.044405863,1699365.0769790595,1699365.0769790595,11313.593437530928,1710678.6704165905
4/30/2023,1709217.3784154714,-574998.6972,4094667.924447984,1709089.041690793,1709350.6205899816,-2795.808639,1706421.569776066
5/31/2023,1719749.148916464,-641675.4822,4131132.6165925716,1719195.8962488947,1720314.8807664015,-17474.8976,1702274.2513199972
6/30/2023,1729941.1848851661,-448173.0225,4248965.31,1728716.8954281036,1731167.641593671,1256.7627010959238,1731197.9475862621
7/31/2023,1740472.9553861588,-554007.297,4044197.8901880533,1738444.7015755186,1742509.737807538,-10891.05354,1729581.901850897
8/31/2023,1751004.7258871512,-571500.9357,4125089.8976786197,1748077.1321079847,1754093.1211019794,37331.477819879496,1788336.2037070307
9/30/2023,1761196.7618558533,-676204.3734,3937751.2829563036,1757223.187080846,1765520.6286143987,39540.65004,1800737.4118972598
10/31/2023,1771728.5323568454,-495092.06,4112403.254021927,1766649.6720769834,1777398.6279343737,22156.95486129755,1793885.487218143
11/30/2023,1781920.568325548,-336336.3138,4307438.022002247,1775482.609947894,1788914.2684160525,2802.9051557788507,1784723.4734813268
12/31/2023,1792452.339,-569335.4897,4052373.367155767,1784726.953,1800972.9240588597,-22698.81295,1769753.5258789423
1/31/2024,1802984.1093275326,-538186.1874,4242997.533,1793863.1507343063,1812862.072361786,-69848.57862,1733135.5307073332
2/29/2024,1812836.4107639447,-537854.2906,4317463.169,1802421.4371596477,1824306.6890796514,51065.53670976172,1863901.9474737064
3/31/2024,1823368.1812649372,-541939.1964,4293245.811,1811939.6790122176,1835934.6737528772,16076.012245235876,1839444.1935101731
4/30/2024,1833560.2172336392,-440358.3386,4129899.6908116643,1820406.7780281361,1848031.672891593,2143.4561397195384,1835703.6733733588
5/31/2024,1844091.9877346319,-416720.145,4166422.3301512334,1829573.624369959,1860832.7556256163,-278.685154,1843813.3025806402
6/30/2024,1854284.0237033344,-400556.1343,4492868.2651242055,1838169.5031615172,1872717.2527673305,14054.900248434022,1868338.9239517683
7/31/2024,1864815.7942043266,-431579.1369,4253753.893511932,1847023.4166495227,1884819.4295954779,1296.453713331426,1866112.247917658
8/31/2024,1875347.564705319,-346728.0572,4295699.711695679,1855535.420607984,1897073.2915603896,17896.932772813347,1893244.4974781324
9/30/2024,1885539.600674021,-536210.8532,4278484.918973423,1864332.2038401286,1909081.999901413,20561.585000980696,1906101.1856750017
10/31/2024,1896071.3711750135,-255635.2201,4291918.235343049,1872909.6754473413,1921656.5645262098,18154.730384569226,1914226.1015595826
11/30/2024,1906263.4071437158,-557162.5835,4261659.617198996,1880646.8667517349,1933757.869428496,7642.583297317524,1913905.9904410334
12/31/2024,1916795.1776447082,-478503.0128,4283666.189267297,1889669.9182342768,1946511.8012568473,-3805.416883,1912989.761
1/31/2025,1927326.9481457004,-354268.8656,4065662.077503699,1898057.9305876023,1959219.107185317,-29144.34771,1898182.6004319233
2/28/2025,1936839.5150498229,-366978.4753,4259929.372641696,1905207.1059654239,1971116.1276414434,68018.86723538852,2004858.3822852115
3/31/2025,1947371.285550815,-502068.2279,4598897.993002966,1913148.5010686414,1984567.7404118464,20608.43684090884,1967979.722391724
4/30/2025,1957563.3215195176,-593752.6664,4344747.203,1920650.1989214045,1997377.3784302883,737.1589212,1958300.480440757
5/31/2025,1968095.0920205098,-592262.5362,4237000.017166573,1928660.8058880384,2010154.4992482727,-5911.867853,1962183.2241674282
6/30/2025,1978287.1279892118,-490332.3924,4280265.841614697,1936409.2073753835,2022513.846660704,9714.320569,1988001.4485585748
7/31/2025,1988818.8984902042,-307716.943,4415828.537096663,1944680.483175688,2035507.6820384196,-3012.401308,1985806.497181721
8/31/2025,1999350.6689911967,-487062.3704,4289614.693965949,1952622.5911586715,2047902.8150582574,24178.376231981092,2023529.0452231779
9/30/2025,2009542.704959899,-325599.1254,4337315.261620457,1960419.7549207257,2060438.9964267514,26972.999445523976,2036515.704405423
10/31/2025,2020074.4754608914,-386830.2843,4282243.969062906,1968046.9907218453,2074225.4032859097,19685.47775038838,2039759.9532112798
11/30/2025,2030266.5114295937,-350488.1996,4360447.785022931,1974859.344372056,2086999.9402343594,6223.2379111561695,2036489.7493407498
12/31/2025,2040798.281930586,-168177.3395,4406921.988296298,1982829.513526684,2101350.4661219795,-9995.605111,2030802.6768193136
1/31/2026,2051330.0524315785,-336762.5463,4447356.4461826105,1990785.154044451,2114399.975961898,-43060.93914,2008269.1132882116
2/28/2026,2060842.6193357008,-218474.0021,4375083.366082604,1997075.3211233697,2126978.227766543,85151.28683377682,2145993.9061694774
3/31/2026,2071374.389836693,-344468.1376,4213533.078537654,2004251.8087133414,2139712.2088881596,24900.714741099087,2096275.104577792
4/30/2026,2081566.425805395,-65343.86989,4441556.427413324,2011891.6593756997,2153037.509448332,-910.1351834,2080656.2906219505
5/31/2026,2092098.1963063874,-232054.8545,4325846.011909834,2019655.2518568586,2167304.3132554987,-11646.91785,2080451.2784532716
6/30/2026,2102290.2322750897,-257151.1418,4564508.964355839,2027011.2871152011,2180601.9139466076,5445.523851837386,2107735.756126927
7/31/2026,2112822.002776082,-225739.3444,4452831.458793102,2033683.9909138142,2194399.2964720475,-7076.266362,2105745.736414107
8/31/2026,2123353.773277075,-96716.63046,4449932.084530864,2040274.399489136,2207725.5057433485,30659.481530664918,2154013.255
9/30/2026,2133545.809245777,-16121.93246,4428775.721193541,2046673.8868804064,2219560.140106593,33302.766216040305,2166848.575461817
10/31/2026,2144077.5797467693,-239698.2519,4535669.108843715,2054974.3858454379,2233612.4547588225,21020.648377068857,2165098.228123838
11/30/2026,2154269.6157154716,-366077.8644,4472733.060872284,2061961.2582190214,2247256.0405758666,4608.502252064717,2158878.117967536
12/31/2026,2164801.3862164635,-117334.2018,4463979.771165398,2069249.023327531,2260902.848219001,-16297.57026,2148503.8159605074
1/31/2027,2175333.156717456,-374080.0623,4598019.209938424,2076731.074,2274861.3857248505,-56633.79811,2118699.358602929
2/28/2027,2184845.7236215784,-165707.2779,4662571.119930181,2083626.0852733809,2287563.3003234584,102442.44019670319,2287288.1638182816
3/31/2027,2195377.4941225704,-57256.86855,4696186.496989933,2090873.9473073764,2301068.906951366,28943.10148541845,2224320.595607989
